1,37,107,175,241,305,367,427,485,541,595,647,697,745,791,835,877,917,955,991,1025,1057,1087,1115,1141,1165,1187,1207,1225,1241,1255,1267,1277,1285,1291,1295
72,2,38,108,176,242,306,368,428,486,542,596,648,698,746,792,836,878,918,956,992,1026,1058,1088,1116,1142,1166,1188,1208,1226,1242,1256,1268,1278,1286,1292
141,73,3,39,109,177,243,307,369,429,487,543,597,649,699,747,793,837,879,919,957,993,1027,1059,1089,1117,1143,1167,1189,1209,1227,1243,1257,1269,1279,1287
208,142,74,4,40,110,178,244,308,370,430,488,544,598,650,700,748,794,838,880,920,958,994,1028,1060,1090,1118,1144,1168,1190,1210,1228,1244,1258,1270,1280
273,209,143,75,5,41,111,179,245,309,371,431,489,545,599,651,701,749,795,839,881,921,959,995,1029,1061,1091,1119,1145,1169,1191,1211,1229,1245,1259,1271
336,274,210,144,76,6,42,112,180,246,310,372,432,490,546,600,652,702,750,796,840,882,922,960,996,1030,1062,1092,1120,1146,1170,1192,1212,1230,1246,1260
397,337,275,211,145,77,7,43,113,181,247,311,373,433,491,547,601,653,703,751,797,841,883,923,961,997,1031,1063,1093,1121,1147,1171,1193,1213,1231,1247
456,398,338,276,212,146,78,8,44,114,182,248,312,374,434,492,548,602,654,704,752,798,842,884,924,962,998,1032,1064,1094,1122,1148,1172,1194,1214,1232
513,457,399,339,277,213,147,79,9,45,115,183,249,313,375,435,493,549,603,655,705,753,799,843,885,925,963,999,1033,1065,1095,1123,1149,1173,1195,1215
568,514,458,400,340,278,214,148,80,10,46,116,184,250,314,376,436,494,550,604,656,706,754,800,844,886,926,964,1000,1034,1066,1096,1124,1150,1174,1196
621,569,515,459,401,341,279,215,149,81,11,47,117,185,251,315,377,437,495,551,605,657,707,755,801,845,887,927,965,1001,1035,1067,1097,1125,1151,1175
672,622,570,516,460,402,342,280,216,150,82,12,48,118,186,252,316,378,438,496,552,606,658,708,756,802,846,888,928,966,1002,1036,1068,1098,1126,1152
